year,hires,terminations,net_change,net_change_percent
2000,215,28,0,86.98
2001,1101,201,0,81.74
2002,1047,166,0,84.15
2003,1117,194,0,82.63
2004,1115,200,0,82.06
2005,1069,168,0,84.28
2006,1098,179,0,83.70
2007,1082,144,0,86.69
2008,1089,141,0,87.05
2009,1115,150,0,86.55
2010,1076,123,0,88.57
2011,1082,110,0,89.83
2012,1089,108,0,90.08
2013,1083,94,0,91.32
2014,1037,85,0,91.80
2015,1038,74,0,92.87
2016,1103,64,0,94.20
2017,1069,53,0,95.04
2018,1127,45,0,96.01
2019,1068,46,0,95.69
2020,996,26,0,97.39
