jobtitle,count
"Account Coordinator",2
"Account Executive",401
"Account Manager",190
"Accountant I",63
"Accountant II",70
"Accountant III",73
"Accountant IV",71
"Accounting Assistant I",74
"Accounting Assistant II",71
"Accounting Assistant III",60
"Accounting Assistant IV",70
Actuary,22
"Administrative Assistant",27
"Administrative Assistant I",157
"Administrative Assistant II",37
"Administrative Assistant III",14
"Administrative Assistant IV",6
"Administrative Officer",45
"Analog Circuit Design manager",36
"Analyst Programmer",297
"Assistant Manager",40
"Assistant Professor",1
"Assistant Trainer",143
"Associate Professor",1
Attorney,35
"Automation Specialist I",23
"Automation Specialist II",27
"Automation Specialist III",11
"Automation Specialist IV",17
"Budget/Accounting Analyst I",124
"Budget/Accounting Analyst II",136
"Budget/Accounting Analyst III",132
"Budget/Accounting Analyst IV",140
"Business Analyst",563
"Business Development Manager",5
"Business Systems Development Analyst",279
"Chief Design Engineer",77
"Community Outreach Specialist",22
"Compensation Analyst",26
"Computer Systems Analyst I",72
"Computer Systems Analyst II",75
"Computer Systems Analyst III",59
"Computer Systems Analyst IV",54
"Content Developer",43
"Content Developer II",44
"Content Developer III",43
"Cost Accountant",249
"Customer Success Manager",160
"Data Coordiator",289
"Data Visualization Specialist",356
"Database Administrator I",65
"Database Administrator II",71
"Database Administrator III",68
"Database Administrator IV",70
"Design Engineer",43
"Desktop Support Technician",248
"Developer I",73
"Developer II",54
"Developer III",63
"Developer IV",61
"Director of Sales",8
Editor,71
"Electrical Engineer",24
"Engineer I",7
"Engineer II",4
"Engineer III",5
"Engineer IV",1
"Executive Assistant",31
"Financial Advisor",27
"Financial Analyst",50
"General Manager",21
"Graphic Designer",9
"Help Desk Operator",73
"Help Desk Technician",271
"HR Manager",167
"Human Resources Analyst",334
"Human Resources Analyst II",486
"Human Resources Assistant I",10
"Human Resources Assistant II",10
"Human Resources Assistant III",13
"Human Resources Assistant IV",10
"Human Resources Manager",54
"Information Systems Manager",31
"Internal Auditor",39
"Junior Trainer",137
"Legal Assistant",16
Librarian,20
"Marketing Assistant",8
"Marketing Manager",1
"Mechanical Systems Engineer",21
"Media Manager I",110
"Media Manager II",42
"Office Assistant I",6
"Office Assistant IV",1
Operator,176
Paralegal,50
"Payment Adjustment Coordinator",16
"Pre-Sales Consultant",170
"Product Engineer",47
"Programmer Analyst I",81
"Programmer Analyst II",78
"Programmer Analyst III",67
"Programmer Analyst IV",67
"Programmer I",71
"Programmer II",70
"Programmer III",66
"Programmer IV",50
"Project Manager",274
"Quality Control Specialist",109
"Quality Engineer",52
Recruiter,193
"Recruiting Manager",19
"Relationshiop Manager",170
"Research Assistant",30
"Research Assistant I",424
"Research Assistant II",623
"Research Assistant III",15
"Research Assistant IV",6
"Research Associate",167
"Sales Associate",5
"Sales Representative",3
"Senior Attorney",35
"Senior Cost Accountant",260
"Senior Developer",285
"Senior Editor",122
"Senior Financial Analyst",48
"Senior Quality Engineer",116
"Senior Recruiter",172
"Senior Sales Associate",12
"Senior Trainer",150
"Service Coordinator",264
"Service Manager",275
"Service Tech",260
"Service Tech II",273
"Service Tech III",276
"Software Consultant",266
"Software Engineer I",319
"Software Engineer II",73
"Software Engineer III",83
"Software Engineer IV",73
"Software Test Engineer I",69
"Software Test Engineer II",55
"Software Test Engineer III",68
"Software Test Engineer IV",76
"Solutions Engineer",177
"Solutions Engineer Manager",170
"Staff Accountant I",370
"Staff Accountant II",67
"Staff Accountant III",82
"Staff Accountant IV",83
"Staff Scientist",28
"Statistician I",10
"Statistician II",10
"Statistician III",2
"Structural Analysis Engineer",36
"Structural Engineer",254
"Support Staff",82
"Support Staff II",45
"Support Staff III",17
"Systems Administrator I",310
"Systems Administrator II",60
"Systems Administrator III",73
"Systems Administrator IV",66
"Tax Accountant",233
"Trainer I",157
"Trainer II",153
"Trainer III",143
"Training Manager",154
"VP Accounting",65
"VP Marketing",38
"VP of Training and Development",1
"VP Product Management",33
"VP Quality Control",34
"VP Sales",5
"Web Designer I",27
"Web Designer II",3
"Web Designer III",10
"Web Designer IV",7
"Web Developer I",82
"Web Developer II",67
"Web Developer III",53
"Web Developer IV",58
